Is CUDA available:  True
Is MPS available:  False
Using CUDA device...

=> creating model 'resnet50'
Epoch: [5][190/206]	Time (s):  1.303	Loss: -0.6479
Epoch: [5][200/206]	Time (s):  0.997	Loss: -0.6447
Epoch: [6][  0/206]	Time (s): 22.085	Loss: -0.5732
Epoch: [6][ 10/206]	Time (s):  0.994	Loss: -0.6106
Epoch: [6][ 20/206]	Time (s):  1.003	Loss: -0.7376
Epoch: [6][ 30/206]	Time (s):  0.996	Loss: -0.6311
Epoch: [6][ 40/206]	Time (s):  0.993	Loss: -0.6894
Epoch: [6][ 50/206]	Time (s):  1.008	Loss: -0.6704
Epoch: [6][ 60/206]	Time (s):  0.995	Loss: -0.8420
Epoch: [6][ 70/206]	Time (s):  1.024	Loss: -0.7868
Epoch: [6][ 80/206]	Time (s):  1.019	Loss: -0.6697
Epoch: [6][ 90/206]	Time (s):  1.066	Loss: -0.6488
Epoch: [6][100/206]	Time (s):  1.229	Loss: -0.6251
Epoch: [6][110/206]	Time (s):  0.995	Loss: -0.7466
Epoch: [6][120/206]	Time (s):  1.226	Loss: -0.6571
Epoch: [6][130/206]	Time (s):  0.999	Loss: -0.5002
Epoch: [6][140/206]	Time (s):  0.997	Loss: -0.4756
Epoch: [6][150/206]	Time (s):  1.282	Loss: -0.6474
Epoch: [6][160/206]	Time (s):  1.000	Loss: -0.6876
Epoch: [6][170/206]	Time (s):  0.999	Loss: -0.7069
Epoch: [6][180/206]	Time (s):  1.000	Loss: -0.5923
Epoch: [6][190/206]	Time (s):  0.988	Loss: -0.6973
Epoch: [6][200/206]	Time (s):  1.224	Loss: -0.4580
Epoch: [7][  0/206]	Time (s): 21.261	Loss: -0.5956
Epoch: [7][ 10/206]	Time (s):  1.003	Loss: -0.6800
Epoch: [7][ 20/206]	Time (s):  0.997	Loss: -0.6416
Epoch: [7][ 30/206]	Time (s):  1.183	Loss: -0.6981
Epoch: [7][ 40/206]	Time (s):  0.993	Loss: -0.5690
Epoch: [7][ 50/206]	Time (s):  0.996	Loss: -0.7250
Epoch: [7][ 60/206]	Time (s):  0.996	Loss: -0.6582
Epoch: [7][ 70/206]	Time (s):  0.997	Loss: -0.6956
Epoch: [7][ 80/206]	Time (s):  1.272	Loss: -0.5912
Epoch: [7][ 90/206]	Time (s):  1.000	Loss: -0.6107
Epoch: [7][100/206]	Time (s):  0.986	Loss: -0.5438
Epoch: [7][110/206]	Time (s):  0.995	Loss: -0.7146
Epoch: [7][120/206]	Time (s):  1.001	Loss: -0.6988
Epoch: [7][130/206]	Time (s):  0.990	Loss: -0.6176
Epoch: [7][140/206]	Time (s):  0.997	Loss: -0.6983
Epoch: [7][150/206]	Time (s):  0.990	Loss: -0.5237
Epoch: [7][160/206]	Time (s):  0.996	Loss: -0.6986
Epoch: [7][170/206]	Time (s):  0.996	Loss: -0.5282
Epoch: [7][180/206]	Time (s):  0.995	Loss: -0.8219
Epoch: [7][190/206]	Time (s):  1.164	Loss: -0.9055
Epoch: [7][200/206]	Time (s):  0.996	Loss: -0.7203
Epoch: [8][  0/206]	Time (s): 20.538	Loss: -0.6903
Epoch: [8][ 10/206]	Time (s):  1.002	Loss: -0.6561
Epoch: [8][ 20/206]	Time (s):  1.004	Loss: -0.7447
Epoch: [8][ 30/206]	Time (s):  0.997	Loss: -0.4822
Epoch: [8][ 40/206]	Time (s):  1.002	Loss: -0.6979
Epoch: [8][ 50/206]	Time (s):  1.724	Loss: -0.7180
Epoch: [8][ 60/206]	Time (s):  1.261	Loss: -0.6544
Epoch: [8][ 70/206]	Time (s):  0.998	Loss: -0.7340
Epoch: [8][ 80/206]	Time (s):  0.996	Loss: -0.6942
Epoch: [8][ 90/206]	Time (s):  1.003	Loss: -0.5221
Epoch: [8][100/206]	Time (s):  0.995	Loss: -0.6981
Epoch: [8][110/206]	Time (s):  1.003	Loss: -0.7969
Epoch: [8][120/206]	Time (s):  0.994	Loss: -0.7084
Epoch: [8][130/206]	Time (s):  1.003	Loss: -0.5916
Epoch: [8][140/206]	Time (s):  0.996	Loss: -0.7766
Epoch: [8][150/206]	Time (s):  1.608	Loss: -0.7326
Epoch: [8][160/206]	Time (s):  1.152	Loss: -0.7846
Epoch: [8][170/206]	Time (s):  1.291	Loss: -0.6715
Epoch: [8][180/206]	Time (s):  1.069	Loss: -0.6950
Epoch: [8][190/206]	Time (s):  1.119	Loss: -0.7736
Epoch: [8][200/206]	Time (s):  1.013	Loss: -0.7256
Epoch: [9][  0/206]	Time (s): 21.806	Loss: -0.7822
Epoch: [9][ 10/206]	Time (s):  1.023	Loss: -0.6827
Epoch: [9][ 20/206]	Time (s):  1.658	Loss: -0.6348
Epoch: [9][ 30/206]	Time (s):  1.001	Loss: -0.7613
Epoch: [9][ 40/206]	Time (s):  1.077	Loss: -0.6140
Epoch: [9][ 50/206]	Time (s):  1.001	Loss: -0.7439
Epoch: [9][ 60/206]	Time (s):  1.073	Loss: -0.5839
Epoch: [9][ 70/206]	Time (s):  1.016	Loss: -0.7850
Epoch: [9][ 80/206]	Time (s):  1.275	Loss: -0.7219
Epoch: [9][ 90/206]	Time (s):  1.586	Loss: -0.6441
Epoch: [9][100/206]	Time (s):  1.059	Loss: -0.6255
Epoch: [9][110/206]	Time (s):  1.011	Loss: -0.7100
Epoch: [9][120/206]	Time (s):  1.029	Loss: -0.7345
Epoch: [9][130/206]	Time (s):  1.134	Loss: -0.8048
Epoch: [9][140/206]	Time (s):  1.061	Loss: -0.6595
Epoch: [9][150/206]	Time (s):  1.001	Loss: -0.5924
Epoch: [9][160/206]	Time (s):  1.019	Loss: -0.5974
