Is CUDA available:  False
Is MPS available:  True
Using MPS device...

=> creating model 'resnet50'
Epoch: [1][ 570/1256]	Time (s):  0.190	Loss: -0.9999
Epoch: [1][ 580/1256]	Time (s):  0.191	Loss: -0.9999
Epoch: [1][ 590/1256]	Time (s):  0.190	Loss: -0.9997
Epoch: [1][ 600/1256]	Time (s):  0.190	Loss: -0.9935
Epoch: [1][ 610/1256]	Time (s):  0.191	Loss: 0.9996
Epoch: [1][ 620/1256]	Time (s):  0.190	Loss: -0.9990
Epoch: [1][ 630/1256]	Time (s):  0.218	Loss: -0.9999
Epoch: [1][ 640/1256]	Time (s):  0.195	Loss: -1.0000
Epoch: [1][ 650/1256]	Time (s):  0.193	Loss: -1.0000
Epoch: [1][ 660/1256]	Time (s):  0.190	Loss: -1.0000
Epoch: [1][ 670/1256]	Time (s):  0.190	Loss: -0.9999
Epoch: [1][ 680/1256]	Time (s):  0.191	Loss: 1.0000
Epoch: [1][ 690/1256]	Time (s):  0.190	Loss: -0.9999
Epoch: [1][ 700/1256]	Time (s):  0.193	Loss: -0.9999
Epoch: [1][ 710/1256]	Time (s):  0.193	Loss: -1.0000
Epoch: [1][ 720/1256]	Time (s):  0.191	Loss: -1.0000
Epoch: [1][ 730/1256]	Time (s):  0.190	Loss: -0.9999
Epoch: [1][ 740/1256]	Time (s):  0.191	Loss: 0.9987
Epoch: [1][ 750/1256]	Time (s):  0.192	Loss: 0.9999
Epoch: [1][ 760/1256]	Time (s):  0.190	Loss: -0.9999
Epoch: [1][ 770/1256]	Time (s):  0.191	Loss: -0.9999
Epoch: [1][ 780/1256]	Time (s):  0.191	Loss: -0.9999
Epoch: [1][ 790/1256]	Time (s):  0.192	Loss: -0.9999
Epoch: [1][ 800/1256]	Time (s):  0.196	Loss: -0.9997
Epoch: [1][ 810/1256]	Time (s):  0.200	Loss: 0.9990
Epoch: [1][ 820/1256]	Time (s):  0.206	Loss: 0.9892
Epoch: [1][ 830/1256]	Time (s):  0.208	Loss: -0.9998
Epoch: [1][ 840/1256]	Time (s):  0.208	Loss: -0.9848
Epoch: [1][ 850/1256]	Time (s):  0.204	Loss: -0.9996
Epoch: [1][ 860/1256]	Time (s):  0.202	Loss: -0.9998
Epoch: [1][ 870/1256]	Time (s):  0.202	Loss: -0.9995
Epoch: [1][ 880/1256]	Time (s):  0.203	Loss: 0.9937
Epoch: [1][ 890/1256]	Time (s):  0.202	Loss: 0.9894
Epoch: [1][ 900/1256]	Time (s):  0.204	Loss: -0.9998
Epoch: [1][ 910/1256]	Time (s):  0.215	Loss: -1.0000
Epoch: [1][ 920/1256]	Time (s):  0.224	Loss: -0.9999
Epoch: [1][ 930/1256]	Time (s):  0.224	Loss: -0.9999
Epoch: [1][ 940/1256]	Time (s):  0.229	Loss: -0.9917
Epoch: [1][ 950/1256]	Time (s):  0.234	Loss: -0.9996
Epoch: [1][ 960/1256]	Time (s):  0.238	Loss: 0.9999
Epoch: [1][ 970/1256]	Time (s):  0.243	Loss: -0.9998
Epoch: [1][ 980/1256]	Time (s):  0.245	Loss: -1.0000
Epoch: [1][ 990/1256]	Time (s):  0.248	Loss: -0.9999
Epoch: [1][1000/1256]	Time (s):  0.250	Loss: 0.9999
Epoch: [1][1010/1256]	Time (s):  0.256	Loss: 0.9843
Epoch: [1][1020/1256]	Time (s):  0.261	Loss: 0.9999
Epoch: [1][1030/1256]	Time (s):  0.265	Loss: -1.0000
Epoch: [1][1040/1256]	Time (s):  0.264	Loss: -1.0000
Epoch: [1][1050/1256]	Time (s):  0.262	Loss: -1.0000
Epoch: [1][1060/1256]	Time (s):  0.262	Loss: -0.9999
Epoch: [1][1070/1256]	Time (s):  0.267	Loss: 0.9998
Epoch: [1][1080/1256]	Time (s):  0.271	Loss: 0.9981
Epoch: [1][1090/1256]	Time (s):  0.270	Loss: -0.9990
Epoch: [1][1100/1256]	Time (s):  0.269	Loss: -0.9988
Epoch: [1][1110/1256]	Time (s):  0.272	Loss: -0.9997
Epoch: [1][1120/1256]	Time (s):  0.270	Loss: -0.9997
Epoch: [1][1130/1256]	Time (s):  0.267	Loss: -0.9993
Epoch: [1][1140/1256]	Time (s):  0.265	Loss: 0.9988
Epoch: [1][1150/1256]	Time (s):  0.262	Loss: -0.9998
Epoch: [1][1160/1256]	Time (s):  0.264	Loss: -0.9998
Epoch: [1][1170/1256]	Time (s):  0.257	Loss: -0.9997
Epoch: [1][1180/1256]	Time (s):  0.255	Loss: -0.9998
Epoch: [1][1190/1256]	Time (s):  0.257	Loss: -0.9959
Epoch: [1][1200/1256]	Time (s):  0.255	Loss: -0.9997
Epoch: [1][1210/1256]	Time (s):  0.254	Loss: -0.9996
Epoch: [1][1220/1256]	Time (s):  0.253	Loss: -0.9998
Epoch: [1][1230/1256]	Time (s):  0.255	Loss: -0.9999
Epoch: [1][1240/1256]	Time (s):  0.254	Loss: -0.9958
Epoch: [1][1250/1256]	Time (s):  0.249	Loss: -0.9872
Epoch: [2][   0/1256]	Time (s):  6.334	Loss: 0.9999
Epoch: [2][  10/1256]	Time (s):  0.190	Loss: 0.9999
Epoch: [2][  20/1256]	Time (s):  0.193	Loss: -0.9997
Epoch: [2][  30/1256]	Time (s):  0.190	Loss: -0.9997
Epoch: [2][  40/1256]	Time (s):  0.193	Loss: -0.9999
Epoch: [2][  50/1256]	Time (s):  0.191	Loss: 0.9887
Epoch: [2][  60/1256]	Time (s):  0.190	Loss: -0.9999
Epoch: [2][  70/1256]	Time (s):  0.193	Loss: 0.9996
Epoch: [2][  80/1256]	Time (s):  0.190	Loss: 1.0000
Epoch: [2][  90/1256]	Time (s):  0.190	Loss: -0.9999
Epoch: [2][ 100/1256]	Time (s):  0.190	Loss: 0.9998
Epoch: [2][ 110/1256]	Time (s):  0.190	Loss: -0.9994
Epoch: [2][ 120/1256]	Time (s):  0.189	Loss: -0.9989
Epoch: [2][ 130/1256]	Time (s):  0.193	Loss: -1.0000
Epoch: [2][ 140/1256]	Time (s):  0.191	Loss: -0.9984
Epoch: [2][ 150/1256]	Time (s):  0.192	Loss: -0.9988
Epoch: [2][ 160/1256]	Time (s):  0.192	Loss: -0.9998
Epoch: [2][ 170/1256]	Time (s):  0.189	Loss: -0.9995
Epoch: [2][ 180/1256]	Time (s):  0.191	Loss: -0.9954
Epoch: [2][ 190/1256]	Time (s):  0.190	Loss: 0.9997
Epoch: [2][ 200/1256]	Time (s):  0.192	Loss: -0.9999
Epoch: [2][ 210/1256]	Time (s):  0.189	Loss: -0.9999
Epoch: [2][ 220/1256]	Time (s):  0.190	Loss: -0.9999
Epoch: [2][ 230/1256]	Time (s):  0.192	Loss: -0.9999
Epoch: [2][ 240/1256]	Time (s):  0.189	Loss: -0.9999
Epoch: [2][ 250/1256]	Time (s):  0.190	Loss: -0.9998
Epoch: [2][ 260/1256]	Time (s):  0.189	Loss: -0.9987
Epoch: [2][ 270/1256]	Time (s):  0.190	Loss: 0.9924
Epoch: [2][ 280/1256]	Time (s):  0.190	Loss: 0.9996
Epoch: [2][ 290/1256]	Time (s):  0.189	Loss: -0.9997
Epoch: [2][ 300/1256]	Time (s):  0.190	Loss: -0.9999
Epoch: [2][ 310/1256]	Time (s):  0.191	Loss: -1.0000
Epoch: [2][ 320/1256]	Time (s):  0.193	Loss: -0.9997
Epoch: [2][ 330/1256]	Time (s):  0.194	Loss: -0.9977
Epoch: [2][ 340/1256]	Time (s):  0.197	Loss: -0.9999
Epoch: [2][ 350/1256]	Time (s):  0.197	Loss: -1.0000
Epoch: [2][ 360/1256]	Time (s):  0.203	Loss: 0.9926
Epoch: [2][ 370/1256]	Time (s):  0.205	Loss: -0.9868
Epoch: [2][ 380/1256]	Time (s):  0.211	Loss: -0.9841
Epoch: [2][ 390/1256]	Time (s):  0.214	Loss: 0.9999
Epoch: [2][ 400/1256]	Time (s):  0.230	Loss: -0.9885
Epoch: [2][ 410/1256]	Time (s):  0.235	Loss: -0.9999
Epoch: [2][ 420/1256]	Time (s):  0.242	Loss: -1.0000
Epoch: [2][ 430/1256]	Time (s):  0.244	Loss: 0.9997
Epoch: [2][ 440/1256]	Time (s):  0.242	Loss: 0.9974
Epoch: [2][ 450/1256]	Time (s):  0.244	Loss: -0.9999
Epoch: [2][ 460/1256]	Time (s):  0.252	Loss: 0.9848
Epoch: [2][ 470/1256]	Time (s):  0.261	Loss: -0.9940
Epoch: [2][ 480/1256]	Time (s):  0.265	Loss: -0.9999
Epoch: [2][ 490/1256]	Time (s):  0.266	Loss: 0.9944
Epoch: [2][ 500/1256]	Time (s):  0.262	Loss: -0.9999
Epoch: [2][ 510/1256]	Time (s):  0.270	Loss: -0.9932
Epoch: [2][ 520/1256]	Time (s):  0.271	Loss: -0.9998
Epoch: [2][ 530/1256]	Time (s):  0.273	Loss: 0.9996
Epoch: [2][ 540/1256]	Time (s):  0.273	Loss: 0.9886
Epoch: [2][ 550/1256]	Time (s):  0.271	Loss: 0.9955
Epoch: [2][ 560/1256]	Time (s):  0.279	Loss: -1.0000
Epoch: [2][ 570/1256]	Time (s):  0.267	Loss: 0.9852
Epoch: [2][ 580/1256]	Time (s):  0.265	Loss: -0.9874
Epoch: [2][ 590/1256]	Time (s):  0.275	Loss: -0.9999
Epoch: [2][ 600/1256]	Time (s):  0.270	Loss: -0.9997
Epoch: [2][ 610/1256]	Time (s):  0.278	Loss: -0.9999
Epoch: [2][ 620/1256]	Time (s):  0.267	Loss: -0.9999
Epoch: [2][ 630/1256]	Time (s):  0.267	Loss: -1.0000
Epoch: [2][ 640/1256]	Time (s):  0.260	Loss: -1.0000
Epoch: [2][ 650/1256]	Time (s):  0.259	Loss: -0.9999
Epoch: [2][ 660/1256]	Time (s):  0.265	Loss: -0.9998
Epoch: [2][ 670/1256]	Time (s):  0.262	Loss: -0.9998
Epoch: [2][ 680/1256]	Time (s):  0.262	Loss: -0.9962
Epoch: [2][ 690/1256]	Time (s):  0.277	Loss: 0.9999
Epoch: [2][ 700/1256]	Time (s):  0.268	Loss: -0.9999
Epoch: [2][ 710/1256]	Time (s):  0.264	Loss: -0.9937
Epoch: [2][ 720/1256]	Time (s):  0.263	Loss: 1.0000
Epoch: [2][ 730/1256]	Time (s):  0.261	Loss: -1.0000
Epoch: [2][ 740/1256]	Time (s):  0.257	Loss: -0.9999
Epoch: [2][ 750/1256]	Time (s):  0.257	Loss: -0.9996
Epoch: [2][ 760/1256]	Time (s):  0.258	Loss: -0.9998
Epoch: [2][ 770/1256]	Time (s):  0.257	Loss: 0.9994
Epoch: [2][ 780/1256]	Time (s):  0.259	Loss: -1.0000
Epoch: [2][ 790/1256]	Time (s):  0.258	Loss: -0.9999
Epoch: [2][ 800/1256]	Time (s):  0.254	Loss: -0.9912
Epoch: [2][ 810/1256]	Time (s):  0.255	Loss: -0.9997
Epoch: [2][ 820/1256]	Time (s):  0.258	Loss: 0.9905
Epoch: [2][ 830/1256]	Time (s):  0.255	Loss: -0.9987
Epoch: [2][ 840/1256]	Time (s):  0.255	Loss: -0.9999
Epoch: [2][ 850/1256]	Time (s):  0.257	Loss: 0.9994
Epoch: [2][ 860/1256]	Time (s):  0.260	Loss: -0.9999
Epoch: [2][ 870/1256]	Time (s):  0.258	Loss: 0.9995
Epoch: [2][ 880/1256]	Time (s):  0.260	Loss: -0.9998
Epoch: [2][ 890/1256]	Time (s):  0.261	Loss: -0.9998
Epoch: [2][ 900/1256]	Time (s):  0.255	Loss: -1.0000
Epoch: [2][ 910/1256]	Time (s):  0.254	Loss: -0.9937
Epoch: [2][ 920/1256]	Time (s):  0.257	Loss: -0.9997
Epoch: [2][ 930/1256]	Time (s):  0.256	Loss: -0.9877
Epoch: [2][ 940/1256]	Time (s):  0.257	Loss: -0.9998
Epoch: [2][ 950/1256]	Time (s):  0.259	Loss: -0.9999
Epoch: [2][ 960/1256]	Time (s):  0.258	Loss: -1.0000
Epoch: [2][ 970/1256]	Time (s):  0.257	Loss: -0.9999
Epoch: [2][ 980/1256]	Time (s):  0.256	Loss: -0.9979
Epoch: [2][ 990/1256]	Time (s):  0.257	Loss: 0.9998
Epoch: [2][1000/1256]	Time (s):  0.255	Loss: -0.9998
Epoch: [2][1010/1256]	Time (s):  0.253	Loss: 0.9999
Epoch: [2][1020/1256]	Time (s):  0.255	Loss: -0.9999
Epoch: [2][1030/1256]	Time (s):  0.257	Loss: -0.9927
Epoch: [2][1040/1256]	Time (s):  0.256	Loss: -0.9999
Epoch: [2][1050/1256]	Time (s):  0.254	Loss: -0.9966
