Is CUDA available:  True
Is MPS available:  False
Using CUDA device...

=> creating model 'resnet50'
Epoch: [17][30/78]	Time (s):  0.609	Loss: -0.7116
Epoch: [17][40/78]	Time (s):  0.623	Loss: -0.7293
Epoch: [17][50/78]	Time (s):  0.691	Loss: -0.7354
Epoch: [17][60/78]	Time (s):  0.607	Loss: -0.6762
Epoch: [17][70/78]	Time (s):  0.607	Loss: -0.7189
Epoch: [18][ 0/78]	Time (s): 22.104	Loss: -0.8705
Epoch: [18][10/78]	Time (s):  0.625	Loss: -0.8120
Epoch: [18][20/78]	Time (s):  0.684	Loss: -0.6703
Epoch: [18][30/78]	Time (s):  0.644	Loss: -0.8687
Epoch: [18][40/78]	Time (s):  0.605	Loss: -0.6974
Epoch: [18][50/78]	Time (s):  0.610	Loss: -0.6398
Epoch: [18][60/78]	Time (s):  0.613	Loss: -0.8625
Epoch: [18][70/78]	Time (s):  0.611	Loss: -0.8492
Epoch: [19][ 0/78]	Time (s): 20.730	Loss: -0.7052
Epoch: [19][10/78]	Time (s):  0.607	Loss: -0.7141
Epoch: [19][20/78]	Time (s):  0.599	Loss: -0.9153
Epoch: [19][30/78]	Time (s):  0.663	Loss: -0.7833
Epoch: [19][40/78]	Time (s):  0.606	Loss: -0.9011
Epoch: [19][50/78]	Time (s):  0.633	Loss: -0.7580
Epoch: [19][60/78]	Time (s):  0.606	Loss: -0.8682
Epoch: [19][70/78]	Time (s):  0.637	Loss: -0.7150
Checkpoint 19 saved.

Unsupervised training of SimSiam network complete.
Total elapsed time: 0.0 hrs, 23 mins and 22 secs.

