Is CUDA available:  False
Is MPS available:  True
Using MPS device...

=> creating model 'resnet50'
Epoch: [3][600/628]	Time (s):  0.440	Loss: -0.9992
Epoch: [3][610/628]	Time (s):  0.429	Loss: -0.4990
Epoch: [3][620/628]	Time (s):  0.430	Loss: -0.9996
Epoch: [4][  0/628]	Time (s):  6.233	Loss: -0.4998
Epoch: [4][ 10/628]	Time (s):  0.290	Loss: 0.0697
Epoch: [4][ 20/628]	Time (s):  0.291	Loss: -0.9988
Epoch: [4][ 30/628]	Time (s):  0.290	Loss: -0.9985
Epoch: [4][ 40/628]	Time (s):  0.291	Loss: -0.2489
Epoch: [4][ 50/628]	Time (s):  0.292	Loss: -0.9908
Epoch: [4][ 60/628]	Time (s):  0.291	Loss: -0.2527
Epoch: [4][ 70/628]	Time (s):  0.291	Loss: -0.7503
Epoch: [4][ 80/628]	Time (s):  0.291	Loss: -0.7486
Epoch: [4][ 90/628]	Time (s):  0.291	Loss: -0.3075
Epoch: [4][100/628]	Time (s):  0.298	Loss: -0.2504
Epoch: [4][110/628]	Time (s):  0.308	Loss: -0.0291
Epoch: [4][120/628]	Time (s):  0.325	Loss: -0.9985
Epoch: [4][130/628]	Time (s):  0.346	Loss: -0.9986
Epoch: [4][140/628]	Time (s):  0.366	Loss: -0.7469
Epoch: [4][150/628]	Time (s):  0.380	Loss: -0.7492
Epoch: [4][160/628]	Time (s):  0.407	Loss: -0.9987
Epoch: [4][170/628]	Time (s):  0.420	Loss: -0.9982
Epoch: [4][180/628]	Time (s):  0.433	Loss: -0.2757
Epoch: [4][190/628]	Time (s):  0.447	Loss: -0.2512
Epoch: [4][200/628]	Time (s):  0.467	Loss: -0.9996
Epoch: [4][210/628]	Time (s):  0.461	Loss: -0.7305
Epoch: [4][220/628]	Time (s):  0.462	Loss: -0.9996
Epoch: [4][230/628]	Time (s):  0.466	Loss: -0.9995
Epoch: [4][240/628]	Time (s):  0.471	Loss: -0.9995
Epoch: [4][250/628]	Time (s):  0.462	Loss: 0.4916
Epoch: [4][260/628]	Time (s):  0.463	Loss: -0.2506
Epoch: [4][270/628]	Time (s):  0.457	Loss: -0.0000
Epoch: [4][280/628]	Time (s):  0.461	Loss: -0.0004
Epoch: [4][290/628]	Time (s):  0.509	Loss: -0.9993
Epoch: [4][300/628]	Time (s):  0.466	Loss: -0.5054
Epoch: [4][310/628]	Time (s):  0.436	Loss: -0.9991
Epoch: [4][320/628]	Time (s):  0.445	Loss: -0.0006
Epoch: [4][330/628]	Time (s):  0.453	Loss: -0.9981
Epoch: [4][340/628]	Time (s):  0.440	Loss: -0.9977
Epoch: [4][350/628]	Time (s):  0.433	Loss: -0.1705
Epoch: [4][360/628]	Time (s):  0.443	Loss: -0.5015
Epoch: [4][370/628]	Time (s):  0.437	Loss: -0.4099
Epoch: [4][380/628]	Time (s):  0.431	Loss: -0.8434
Epoch: [4][390/628]	Time (s):  0.420	Loss: -0.0011
Epoch: [4][400/628]	Time (s):  0.429	Loss: -0.9995
Epoch: [4][410/628]	Time (s):  0.424	Loss: -0.0018
Epoch: [4][420/628]	Time (s):  0.421	Loss: -0.5952
Epoch: [4][430/628]	Time (s):  0.421	Loss: -0.5026
Epoch: [4][440/628]	Time (s):  0.457	Loss: -0.9963
Epoch: [4][450/628]	Time (s):  0.437	Loss: -0.9981
Epoch: [4][460/628]	Time (s):  0.419	Loss: -0.9988
Epoch: [4][470/628]	Time (s):  0.425	Loss: -0.5017
Epoch: [4][480/628]	Time (s):  0.441	Loss: -0.4997
Epoch: [4][490/628]	Time (s):  0.431	Loss: -0.7301
Epoch: [4][500/628]	Time (s):  0.427	Loss: -0.4998
Epoch: [4][510/628]	Time (s):  0.422	Loss: -0.9997
Epoch: [4][520/628]	Time (s):  0.431	Loss: 0.0001
Epoch: [4][530/628]	Time (s):  0.420	Loss: -0.0000
Epoch: [4][540/628]	Time (s):  0.416	Loss: -0.9994
Epoch: [4][550/628]	Time (s):  0.421	Loss: -0.9990
Epoch: [4][560/628]	Time (s):  0.416	Loss: -0.6120
Epoch: [4][570/628]	Time (s):  0.421	Loss: -0.4940
Epoch: [4][580/628]	Time (s):  0.419	Loss: -0.9989
Epoch: [4][590/628]	Time (s):  0.423	Loss: -0.8916
Epoch: [4][600/628]	Time (s):  0.419	Loss: -0.2388
Epoch: [4][610/628]	Time (s):  0.415	Loss: -0.4979
Epoch: [4][620/628]	Time (s):  0.406	Loss: -0.9995
Epoch: [5][  0/628]	Time (s):  6.194	Loss: -0.0000
Epoch: [5][ 10/628]	Time (s):  0.291	Loss: -0.9995
Epoch: [5][ 20/628]	Time (s):  0.291	Loss: -0.4997
Epoch: [5][ 30/628]	Time (s):  0.292	Loss: -0.0002
Epoch: [5][ 40/628]	Time (s):  0.292	Loss: 0.0000
Epoch: [5][ 50/628]	Time (s):  0.291	Loss: -0.4998
Epoch: [5][ 60/628]	Time (s):  0.292	Loss: -0.4997
Epoch: [5][ 70/628]	Time (s):  0.292	Loss: 0.4995
Epoch: [5][ 80/628]	Time (s):  0.291	Loss: 0.4993
Epoch: [5][ 90/628]	Time (s):  0.292	Loss: -0.0001
Epoch: [5][100/628]	Time (s):  0.292	Loss: -0.9996
Epoch: [5][110/628]	Time (s):  0.293	Loss: -0.4998
Epoch: [5][120/628]	Time (s):  0.297	Loss: -0.9998
Epoch: [5][130/628]	Time (s):  0.301	Loss: 0.4998
Epoch: [5][140/628]	Time (s):  0.311	Loss: -0.4999
Epoch: [5][150/628]	Time (s):  0.323	Loss: -0.9998
Epoch: [5][160/628]	Time (s):  0.336	Loss: -0.7595
Epoch: [5][170/628]	Time (s):  0.372	Loss: -0.0007
Epoch: [5][180/628]	Time (s):  0.384	Loss: -0.9996
Epoch: [5][190/628]	Time (s):  0.417	Loss: -0.9995
Epoch: [5][200/628]	Time (s):  0.422	Loss: -0.9996
Epoch: [5][210/628]	Time (s):  0.454	Loss: -0.9995
Epoch: [5][220/628]	Time (s):  0.472	Loss: 0.2462
Epoch: [5][230/628]	Time (s):  0.487	Loss: -0.5134
Epoch: [5][240/628]	Time (s):  0.490	Loss: -0.9988
Epoch: [5][250/628]	Time (s):  0.499	Loss: -0.9982
Epoch: [5][260/628]	Time (s):  0.503	Loss: 0.0004
Epoch: [5][270/628]	Time (s):  0.490	Loss: -0.0001
Epoch: [5][280/628]	Time (s):  0.504	Loss: -0.9976
Epoch: [5][290/628]	Time (s):  0.508	Loss: -0.6617
Epoch: [5][300/628]	Time (s):  0.482	Loss: -0.9985
Epoch: [5][310/628]	Time (s):  0.477	Loss: -0.4988
Epoch: [5][320/628]	Time (s):  0.465	Loss: -0.0024
Epoch: [5][330/628]	Time (s):  0.457	Loss: -0.5010
Epoch: [5][340/628]	Time (s):  0.455	Loss: -0.9994
Epoch: [5][350/628]	Time (s):  0.443	Loss: -0.9989
Epoch: [5][360/628]	Time (s):  0.447	Loss: -0.9989
Epoch: [5][370/628]	Time (s):  0.460	Loss: -0.4997
Epoch: [5][380/628]	Time (s):  0.443	Loss: -0.5003
Epoch: [5][390/628]	Time (s):  0.451	Loss: -0.7982
Epoch: [5][400/628]	Time (s):  0.448	Loss: -0.5015
Epoch: [5][410/628]	Time (s):  0.461	Loss: -0.4996
Epoch: [5][420/628]	Time (s):  0.466	Loss: -0.9992
Epoch: [5][430/628]	Time (s):  0.452	Loss: -0.5006
Epoch: [5][440/628]	Time (s):  0.500	Loss: -0.5012
Epoch: [5][450/628]	Time (s):  0.469	Loss: -0.9993
Epoch: [5][460/628]	Time (s):  0.446	Loss: -0.9995
Epoch: [5][470/628]	Time (s):  0.440	Loss: -0.9051
Epoch: [5][480/628]	Time (s):  0.441	Loss: -0.7530
Epoch: [5][490/628]	Time (s):  0.447	Loss: -0.4959
Epoch: [5][500/628]	Time (s):  0.458	Loss: -0.9996
Epoch: [5][510/628]	Time (s):  0.438	Loss: -0.4999
Epoch: [5][520/628]	Time (s):  0.427	Loss: -0.9997
Epoch: [5][530/628]	Time (s):  0.444	Loss: -0.0004
Epoch: [5][540/628]	Time (s):  0.443	Loss: -0.4999
Epoch: [5][550/628]	Time (s):  0.436	Loss: -0.0007
Epoch: [5][560/628]	Time (s):  0.430	Loss: -0.9998
Epoch: [5][570/628]	Time (s):  0.438	Loss: -0.4999
Epoch: [5][580/628]	Time (s):  0.440	Loss: -0.4999
Epoch: [5][590/628]	Time (s):  0.445	Loss: -0.9998
Epoch: [5][600/628]	Time (s):  0.438	Loss: -0.2311
Epoch: [5][610/628]	Time (s):  0.440	Loss: -0.9947
Epoch: [5][620/628]	Time (s):  0.417	Loss: 0.0006
Epoch: [6][  0/628]	Time (s):  6.179	Loss: -0.2384
Epoch: [6][ 10/628]	Time (s):  0.291	Loss: -0.9983
Epoch: [6][ 20/628]	Time (s):  0.290	Loss: -0.4995
