Is CUDA available:  False
Is MPS available:  True
Using MPS device...

=> creating model 'efficientnet_v2_s'
Epoch: [18][20/78]	Time (s):  4.283	Loss: -0.8808
Epoch: [18][30/78]	Time (s):  5.194	Loss: -0.8683
Epoch: [18][40/78]	Time (s):  4.292	Loss: -0.8942
Epoch: [18][50/78]	Time (s):  4.165	Loss: -0.8853
Epoch: [18][60/78]	Time (s):  4.177	Loss: -0.8791
Epoch: [18][70/78]	Time (s):  3.950	Loss: -0.8737
Epoch: [19][ 0/78]	Time (s): 25.856	Loss: -0.8839
Epoch: [19][10/78]	Time (s):  4.346	Loss: -0.8985
Epoch: [19][20/78]	Time (s):  4.342	Loss: -0.8602
Epoch: [19][30/78]	Time (s):  4.924	Loss: -0.8954
Epoch: [19][40/78]	Time (s):  4.276	Loss: -0.8961
Epoch: [19][50/78]	Time (s):  4.198	Loss: -0.8962
Epoch: [19][60/78]	Time (s):  4.002	Loss: -0.8871
Epoch: [19][70/78]	Time (s):  4.016	Loss: -0.8999
Checkpoint 19 saved.
Epoch: [20][ 0/78]	Time (s): 15.907	Loss: -0.8957
Epoch: [20][10/78]	Time (s):  4.356	Loss: -0.8654
Epoch: [20][20/78]	Time (s):  5.097	Loss: -0.8970
Epoch: [20][30/78]	Time (s):  4.905	Loss: -0.8835
Epoch: [20][40/78]	Time (s):  4.647	Loss: -0.8901
Epoch: [20][50/78]	Time (s):  4.044	Loss: -0.8973
Epoch: [20][60/78]	Time (s):  7.561	Loss: -0.8998
Epoch: [20][70/78]	Time (s):  4.428	Loss: -0.9004
Epoch: [21][ 0/78]	Time (s): 17.106	Loss: -0.8696
Epoch: [21][10/78]	Time (s):  4.331	Loss: -0.8654
Epoch: [21][20/78]	Time (s):  4.267	Loss: -0.9012
Epoch: [21][30/78]	Time (s):  4.053	Loss: -0.8880
Epoch: [21][40/78]	Time (s):  6.182	Loss: -0.8344
Epoch: [21][50/78]	Time (s):  4.977	Loss: -0.9006
Epoch: [21][60/78]	Time (s):  5.184	Loss: -0.8861
Epoch: [21][70/78]	Time (s):  5.236	Loss: -0.8947
Epoch: [22][ 0/78]	Time (s): 15.307	Loss: -0.8965
Epoch: [22][10/78]	Time (s):  4.339	Loss: -0.8952
Epoch: [22][20/78]	Time (s):  4.530	Loss: -0.8560
Epoch: [22][30/78]	Time (s):  6.819	Loss: -0.9069
Epoch: [22][40/78]	Time (s):  5.342	Loss: -0.8617
Epoch: [22][50/78]	Time (s):  5.364	Loss: -0.9095
Epoch: [22][60/78]	Time (s):  5.188	Loss: -0.8946
Epoch: [22][70/78]	Time (s):  4.715	Loss: -0.8873
Epoch: [23][ 0/78]	Time (s): 12.780	Loss: -0.9055
Epoch: [23][10/78]	Time (s):  4.135	Loss: -0.9103
Epoch: [23][20/78]	Time (s):  4.096	Loss: -0.8905
Epoch: [23][30/78]	Time (s):  8.563	Loss: -0.8973
Epoch: [23][40/78]	Time (s):  5.974	Loss: -0.8634
Epoch: [23][50/78]	Time (s):  5.732	Loss: -0.9036
Epoch: [23][60/78]	Time (s):  5.658	Loss: -0.9120
Epoch: [23][70/78]	Time (s):  6.248	Loss: -0.9103
Epoch: [24][ 0/78]	Time (s): 15.969	Loss: -0.9050
Epoch: [24][10/78]	Time (s):  4.622	Loss: -0.8876
Epoch: [24][20/78]	Time (s):  4.873	Loss: -0.8583
Epoch: [24][30/78]	Time (s):  6.335	Loss: -0.9139
Epoch: [24][40/78]	Time (s):  5.445	Loss: -0.9163
Epoch: [24][50/78]	Time (s):  6.062	Loss: -0.9051
Epoch: [24][60/78]	Time (s):  8.036	Loss: -0.8658
Epoch: [24][70/78]	Time (s):  5.000	Loss: -0.9179
Checkpoint 24 saved.
Epoch: [25][ 0/78]	Time (s): 13.148	Loss: -0.8834
Epoch: [25][10/78]	Time (s):  4.498	Loss: -0.8759
Epoch: [25][20/78]	Time (s):  4.388	Loss: -0.9064
Epoch: [25][30/78]	Time (s): 13.302	Loss: -0.9146
Epoch: [25][40/78]	Time (s):  4.891	Loss: -0.8883
Epoch: [25][50/78]	Time (s):  5.412	Loss: -0.9017
Epoch: [25][60/78]	Time (s):  6.682	Loss: -0.9030
Epoch: [25][70/78]	Time (s):  5.700	Loss: -0.8635
Epoch: [26][ 0/78]	Time (s): 12.949	Loss: -0.8708
Epoch: [26][10/78]	Time (s):  4.870	Loss: -0.8889
Epoch: [26][20/78]	Time (s):  4.834	Loss: -0.9105
Epoch: [26][30/78]	Time (s):  5.584	Loss: -0.8936
Epoch: [26][40/78]	Time (s):  5.445	Loss: -0.9077
Epoch: [26][50/78]	Time (s):  6.408	Loss: -0.8903
Epoch: [26][60/78]	Time (s):  6.343	Loss: -0.8944
Epoch: [26][70/78]	Time (s):  5.262	Loss: -0.9115
Epoch: [27][ 0/78]	Time (s): 13.856	Loss: -0.8949
Epoch: [27][10/78]	Time (s):  4.198	Loss: -0.8877
Epoch: [27][20/78]	Time (s):  4.546	Loss: -0.8896
Epoch: [27][30/78]	Time (s):  5.664	Loss: -0.8305
Epoch: [27][40/78]	Time (s):  5.782	Loss: -0.8977
Epoch: [27][50/78]	Time (s):  5.883	Loss: -0.9044
Epoch: [27][60/78]	Time (s):  5.670	Loss: -0.9054
